sira	karakter	saniye	kar_sn	metin
1	70	4.480	15.62	Beş dakika boyunca beyaz bir ayı düşünmemeni istesem, aklına
2	86	5.920	14.53	Elli yıl önce bir psikolog bu saçma isteği gerçekten deneğe 
3	86	5.280	16.29	Bu gece uyumaya çalışırken aklından kovmaya çalıştığın şey d
4	13	1.280	10.16	Sade bir oda.
5	73	4.800	15.21	Bir masa, bir sandalye, masanın üzerinde küçük bir zil ve dö
6	150	9.600	15.62	İçeri giren üniversite öğrencisine verilen yönerge son derec
7	18	1.440	12.50	Tek bir kural var.
8	24	1.920	12.50	Beyaz bir ayıyı düşünme.
9	30	2.560	11.72	Eğer aklına gelirse, zile bas.
10	15	1.440	10.42	Öğrenci oturur.
11	24	1.760	13.64	Birkaç saniye sessizlik.
12	39	2.880	13.54	Sonra odadan ince bir çınlama yükselir.
13	23	1.920	11.98	Ardından bir tane daha.
14	155	10.240	15.14	Beş dakikanın sonunda kayıtlara bakıldığında ortaya çıkan ta
15	61	4.160	14.66	Yasak, zihinde bir kapı değil, bir metronom işlevi görmüştür
16	84	5.760	14.58	Bu deneyi bin dokuz yüz seksen yedide psikolog Daniel Vegner
17	29	2.400	12.08	Ama fikir onlara ait değildi.
18	218	13.920	15.66	bin sekiz yüz altmış üçte Dostoyevski, Batı Avrupa gezisinin
19	67	5.280	12.69	bak bakalım o lanet şey her dakika aklına gelecek mi gelmeye
20	113	7.040	16.05	Bir romancının yan cümle olarak attığı bu not, yüz yirmi dör
21	75	5.280	14.20	Vegner'ın asıl buluşu ise deneyin ilk yarısında değil, ikinc
22	83	5.600	14.82	Öğrencilerin bir kısmına önce beş dakika "düşünme", sonra be
23	80	4.960	16.13	Bir başka gruba ise en baştan itibaren "beyaz bir ayıyı düşü
24	93	6.080	15.30	Mantıken, baştan beri o ayıyı düşünen grubun zihninin daha ç
25	21	1.760	11.93	Sonuç tam tersi oldu.
26	134	8.640	15.51	Önce bastırıp sonra serbest bırakılanlar, hiç bastırmamış ol
27	107	7.520	14.23	Bastırmak, düşünceyi yok etmemişti; onu yaylı bir kapağın al
28	47	3.520	13.35	Literatüre bu "geri tepme etkisi" olarak geçti.
29	11	1.120	9.82	Peki neden?
30	150	9.920	15.12	Vegner, bin dokuz yüz doksan dörtte yayımladığı kuramında zi
31	96	6.720	14.29	Birincisi bilinçli, iradeli, emek isteyen kısım: dikkati baş
32	122	8.000	15.25	Bu kısım hava durumunu düşünür, alışveriş listesini sayar, c
33	78	5.440	14.34	İkincisi ise sessiz, otomatik, neredeyse hiç enerji harcamay
34	73	4.960	14.72	Denetçinin görevi kontrol etmektir: görev başarılı mı, ayı g
35	26	2.080	12.50	İroninin tam kalbi burada.
36	106	6.560	16.16	Denetçi "ayı geldi mi" sorusunu sorabilmek için ayının neye 
37	123	7.520	16.36	Yani zihnin bir bölümü, o düşünceyi kovalamakla görevliyken,
38	79	5.760	13.72	Yasağı denetleyen mekanizma, yasaklı şeyi zihnin en erişileb
39	65	4.160	15.62	Bu yüzden bastırma çabası, kendi hedefini besleyen bir siste
40	92	5.600	16.43	Normal koşullarda bu iki işlem dengededir ve bastırma bir sü
41	65	4.480	14.51	Ama arayıcı taraf yorucudur; dikkat, irade ve boş kapasite i
42	39	2.720	14.34	Denetçi ise neredeyse bedavaya çalışır.
43	143	9.760	14.65	Dolayısıyla zihin yorulduğunda, stres bindiğinde, aynı anda 
44	52	3.680	14.13	Geriye yalnızca "ayı geldi mi" diye soran ses kalır.
45	129	9.280	13.90	Bu yüzden bastırılan düşünce en çok, insanın en yorgun olduğ
46	99	5.760	17.19	Bu laboratuvar tuhaflığı, gündelik hayatın en tanıdık çıkmaz
47	95	5.920	16.05	"Onun önünde o konuyu açma" diye kendine tembihleyen insanın
48	82	5.120	16.02	Şekeri bırakmaya karar verdiği gün zihni bütünüyle tatlı tar
49	75	4.800	15.62	Bir sır tutmaya çalışırken o sırrın her sohbette kapı aralığ
50	122	7.840	15.56	Ayrılıktan sonra "artık onu düşünmeyeceğim" diyen birinin, t
51	50	3.680	13.59	Hepsinde aynı yapı var: hedef olumsuz tanımlanmış.
52	53	3.520	15.06	Zihne verilen adres bir yer değil, bir yerin yokluğu.
53	97	6.240	15.54	Ve zihin, olmayan bir adrese gidemez; yalnızca gitmemesi ger
54	35	2.560	13.67	O halde sorun çabanın azlığı değil.
55	91	6.080	14.97	"Daha sıkı bastırırsam olur" cümlesi, sistemin nasıl çalıştı
56	61	3.840	15.89	Daha sıkı bastırmak, denetçiyi daha sık devreye sokmak demek
57	66	4.640	14.22	Yani asıl soru şu: madem kovmak işe yaramıyor, o zaman ne ya
58	66	4.480	14.73	Cevabın ilk parçası, Vegner'ın kendi deneylerinin içinde sak
59	214	12.000	17.83	Aynı bin dokuz yüz seksen yedi çalışmasında araştırmacılar b
60	23	1.600	14.38	Kırmızı bir Volkswagen.
61	103	6.560	15.70	Sonuç çarpıcıydı: önceden belirlenmiş tek bir alternatif, o 
62	18	1.440	12.50	Bunun nedeni açık.
63	139	9.600	14.48	"Ayı olmayan herhangi bir şey" talimatı, zihne sonsuz bir ar
64	49	4.160	11.78	Oysa "kırmızı araba" talimatı somut bir adrestir.
65	33	2.560	12.89	Zihin oraya gider ve orada kalır.
66	122	8.320	14.66	Pratikte bunun karşılığı şudur: bir düşünceden uzaklaşmak is
67	56	3.680	15.22	Belirsiz ve soyut değil; duyulara dokunan bir şey olsun.
68	110	7.360	14.95	Bir yürüyüş rotası, elinizdeki bir işin bir sonraki somut ad
69	69	4.800	14.38	Hazırlıksız yakalanmak, zihni olumsuz talimatla baş başa bır
70	27	2.400	11.25	İkinci parça, yük meselesi.
71	210	13.440	15.62	iki bin yirmide yayımlanan geniş bir derleme, bu paradigmayl
72	103	7.360	13.99	asıl olarak zihin zaten yük altındayken, yani yorgunken, böl
73	98	6.080	16.12	Buna karşılık bastırma sona erdikten sonraki geri tepme, yük
74	98	5.920	16.55	Uygulamaya çevirisi şu: zihninizle girdiğiniz bu mücadeleyi 
75	90	5.440	16.54	Dinlenmiş bir zihin dikkatini yönlendirebilir; tükenmiş bir 
76	58	4.160	13.94	Üçüncü parça, çabanın kendisinin sorun haline geldiği yer.
77	92	5.920	15.54	Vegner ve arkadaşlarının bin dokuz yüz doksan altıdaki uyku 
78	167	11.200	14.91	Katılımcılara ya "olabildiğince hızlı uyu" ya da "ne zaman i
79	53	3.520	15.06	Sakin müzikle birlikte hızlı uyuma niyeti işe yaradı.
80	96	6.560	14.63	Ama zihin marşlarla meşgulken hızlı uyumaya çalışanlar, hiç 
81	45	3.360	13.39	Uyku, kovalandığında kaçan şeylerden biridir.
82	66	4.480	14.73	Aynı şey sakinleşmek, doğal davranmak, rahatlamak için de ge
83	74	4.960	14.92	Dördüncü ve belki en önemli parça, kapıyı kapatmak yerine od
84	70	4.480	15.62	Bir düşünceyi yasaklamadığınızda denetçinin avlayacak bir şe
85	74	5.440	13.60	Pratikte bu, düşünceyi adlandırmakla başlıyor: "Şu an aklıma
86	108	8.160	13.24	Bu bir endişe düşüncesi." Onu doğruymuş gibi tartışmadan, ko
