sira	karakter	saniye	kar_sn	metin
1	39	2.560	15.23	Bir çocuk kuyunun kenarında sendeliyor.
2	86	5.920	14.53	Kimse seni görmüyor, ödül yok, ceza yok — ama vücudun sen ka
3	101	6.720	15.03	O yarım saniye, insanın özünde iyi olduğunun kanıtı mı, yoks
4	17	1.440	11.81	Bir avlu düşünün.
5	79	6.080	12.99	Sıcak bir öğle vakti, taş bir kuyu bileziği, kenarları yılla
6	18	1.600	11.25	Kuyunun ağzı açık.
7	103	7.040	14.63	Az ötede, emeklemeyi yeni sökmüş bir çocuk, elleri dizleri ü
8	27	2.080	12.98	Siz oradan geçen birisiniz.
9	22	1.600	13.75	Çocuğu tanımıyorsunuz.
10	24	1.920	12.50	Ailesini tanımıyorsunuz.
11	58	4.000	14.50	Bu avluda işiniz yok, iki dakika sonra çıkıp gideceksiniz.
12	18	1.440	12.50	Ve bir şey oluyor.
13	129	8.000	16.12	Daha siz "aman" demeye fırsat bulamadan omuzlarınız kasılıyo
14	13	1.120	11.61	Düşünmediniz.
15	12	1.120	10.71	Tartmadınız.
16	17	1.920	8.85	Hesap yapmadınız.
17	31	2.240	13.84	Bedeniniz sizden önce davrandı.
18	92	6.240	14.74	İşte o yarım saniye, felsefe tarihinin en inatçı sorularında
19	98	6.400	15.31	Bu sahneyi kuran adam, bundan yaklaşık iki bin üç yüz yıl ön
20	39	2.720	14.34	Batı kaynaklarında Mensiyus diye geçer.
21	92	5.600	16.43	Yaşadığı dönemin adı bile insan doğası hakkında bir fikir ve
22	117	7.520	15.56	Küçük beylikler birbirini yutuyor, ordular köyleri siliyor, 
23	98	6.400	15.31	Yani Mengzi, insanın iyiliğini, insanların birbirini en çok 
24	10	1.120	8.93	Bu önemli.
25	66	4.160	15.87	Çünkü onun iddiası saf bir iyimserlik değil; kan görmüş bir 
26	78	5.120	15.23	Mengzi diyor ki: her insanda, başkasının acısına dayanamayan
27	52	3.200	16.25	Ve bunu kanıtlamak için uzun bir teoriye girişmiyor.
28	38	2.560	14.84	Sadece o kuyuyu ve o çocuğu anlatıyor.
29	100	6.400	15.62	Sonra da işin asıl ustaca kısmına geçiyor: içinizde kıpırday
30	62	4.000	15.50	O irkilme, çocuğun anne babasıyla arayı iyi tutmak için deği
31	27	1.760	15.34	Onları tanımıyorsunuz bile.
32	71	4.320	16.44	Komşuların, dostların arasında "ne yiğit adammış" dedirtmek 
33	15	1.440	10.42	Kimse görmüyor.
34	140	8.640	16.20	Çocuğun çığlığını duymaya tahammül edemediğiniz, o sesten ra
35	38	2.400	15.83	Üç çıkar kapısını da kapatıyor Mengzi.
36	70	5.440	12.87	Geriye bir tek şey kalıyor: hesapsız, sebepsiz, çıplak bir k
37	107	6.240	17.15	Burada dikkatli olmak gerek, çünkü Mengzi'nin söylediği şey 
38	53	4.000	13.25	O, "her insan kuyuya atlar, çocuğu kurtarır" demiyor.
39	96	6.400	15.00	Belki atlarsınız, belki donup kalırsınız, belki yüzme bilmed
40	106	6.720	15.77	Onun konusu sizin ne yaptığınız değil; hesap devreye girmede
41	58	4.000	14.50	İnsanın davranışını değil, ilk tepkisini delil gösteriyor.
42	32	2.080	15.38	Peki bu kıpırdanma neyin delili?
43	42	2.720	15.44	Mengzi burada bir bahçıvan gibi konuşuyor.
44	70	5.440	12.87	Ona göre o acıma duygusu, insanlığın kendisi değil, insanlığ
45	216	13.920	15.52	Ve böyle dört filiz sayıyor: acıma duygusu iyilikseverliğin 
46	57	4.480	12.72	Bunlar insanda, tıpkı dört uzvu gibi, doğuştan var diyor.
47	51	3.520	14.49	"Ben yapamam" diyen kişi, kendi kendini sakatlıyor.
48	60	4.000	15.00	Filiz kelimesinin üstünde duralım, çünkü bütün mesele orada.
49	21	2.080	10.10	Filiz, ağaç değildir.
50	35	3.840	9.11	Filiz, bir söz değil, bir imkândır.
51	85	6.080	13.98	Sulanmazsa kurur, çiğnenirse ezilir, gölgede kalırsa cılız b
52	143	9.600	14.90	Mengzi bunu gayet iyi biliyor ve bunun için ikinci bir sahne
53	44	3.200	13.75	Bir zamanlar, diyor, o dağ ormanla kaplıydı.
54	24	1.920	12.50	Ama şehrin kenarındaydı.
