sira	karakter	saniye	kar_sn	metin
1	43	3.040	14.14	A child is teetering at the edge of a well.
2	119	7.520	15.82	No one is watching you, there is no reward and no punishment
3	102	5.600	18.21	Is that half-second proof that a human being is good in esse
4	20	1.600	12.50	Picture a courtyard.
5	79	5.280	14.96	A hot noon hour, a stone well-curb, its rim worn into groove
6	30	2.400	12.50	The mouth of the well is open.
7	135	7.520	17.95	A little way off, a child who has only just learned to crawl
8	32	2.240	14.29	You are someone passing through.
9	26	1.760	14.77	You do not know the child.
10	27	2.080	12.98	You do not know his family.
11	91	4.800	18.96	You have no business in this courtyard; two minutes from now
12	22	2.080	10.58	And something happens.
13	123	6.400	19.22	Before you can even get a word out, your shoulders tighten, 
14	18	2.240	8.04	You did not think.
15	27	1.760	15.34	You did not weigh anything.
16	23	2.080	11.06	You did no calculation.
17	31	2.080	14.90	Your body moved before you did.
18	112	5.440	20.59	That half-second sits squarely in the middle of one of the m
19	151	8.960	16.85	The man who built this scene was a thinker who lived in Chin
20	103	5.440	18.93	Even the name of the age he lived in tells you something abo
21	125	7.680	16.28	Small principalities swallowing one another, armies wiping o
22	134	6.560	20.43	Which is to say that Mencius defended the goodness of human 
23	13	1.280	10.16	This matters.
24	76	4.800	15.83	Because his claim is not a pure optimism; it is a claim that
25	89	4.800	18.54	Mencius says: in every person there is a heart that cannot b
26	54	3.840	14.06	And to prove it he does not launch into a long theory.
27	45	2.720	16.54	He simply describes that well and that child.
28	111	6.560	16.92	Then he moves to the truly ingenious part: one by one, he el
29	72	4.320	16.67	That flinch is not about getting on good terms with the chil
30	26	1.600	16.25	You do not even know them.
31	100	5.280	18.94	It is not about earning the praise of neighbours and friends
32	19	1.760	10.80	Nobody is watching.
33	148	8.320	17.79	Nor is it because you cannot stand to hear the child scream,
34	48	3.200	15.00	Mencius closes all three doors of self-interest.
35	82	5.600	14.64	One thing is left: a stirring with no calculation, no motive
36	105	5.920	17.74	Here we have to be careful, because what Mencius says is usu
37	75	3.840	19.53	He is not saying that every person dives into the well and s
38	79	5.120	15.43	Maybe you go in, maybe you freeze, maybe you cannot swim and
39	109	6.080	17.93	His subject is not what you do; it is what passes through yo
40	76	4.640	16.38	He offers as evidence not a human being's behaviour, but the
41	37	3.040	12.17	So what is that stirring evidence of?
42	35	2.240	15.62	Here Mencius talks like a gardener.
43	79	4.640	17.03	For him that feeling of pity is not humanity itself but the 
44	201	11.040	18.21	And he counts four such sprouts: the feeling of pity is the 
45	102	5.760	17.71	is the sprout of propriety; and the sense that distinguishes
46	68	4.160	16.35	These are in a person from birth, he says, just like the fou
47	52	3.200	16.25	Anyone who says I cannot do it is crippling himself.
48	75	4.480	16.74	Let us stay a moment on the word sprout, because the whole m
49	23	1.920	11.98	A sprout is not a tree.
50	47	3.360	13.99	A sprout is not a promise; it is a possibility.
51	85	5.120	16.60	Unwatered it dries; trampled it is crushed; left in shade it
52	162	9.120	17.76	Mencius knows this perfectly well, and for it he builds a se
53	51	3.520	14.49	Once, he says, that mountain was covered in forest.
54	35	2.560	13.67	But it stood at the edge of a city.
55	47	3.200	14.69	The axes came every day and cut the trees down.
56	47	3.040	15.46	Herds were let loose and grazed the new shoots.
57	131	6.240	20.99	The dew that fell at night, the tiny sprouts that came up in
58	113	5.920	19.09	Now someone looking at that mountain sees the bare rock and 
59	39	3.040	12.83	But that was not the mountain's nature.
60	39	2.720	14.34	That was what happened to the mountain.
61	135	7.360	18.34	Mencius's entire thesis about human beings is stretched betw
62	90	5.120	17.58	There is something inside us, but if that something is not p
63	153	8.160	18.75	And yet, before the same century was out, another thinker ra
64	30	2.560	11.72	That thinker's name was Xunzi.
65	99	6.400	15.47	He lived a generation after Mencius, belonged to the same Co
66	105	7.520	13.96	And targeting Mencius by name, he wrote this: human nature i
67	128	8.160	15.69	That phrase, made afterwards, is covered by a single word in
68	33	2.880	11.46	So Xunzi is not denying goodness.
69	39	2.560	15.23	He is denying that goodness is natural.
70	56	3.360	16.67	For him goodness is not a sprout but a product of craft.
71	126	7.040	17.90	Look where he goes for evidence: a human being is born with 
72	76	4.480	16.96	He is born with envy and hatred, and if you leave him alone,
73	100	5.600	17.86	He is born with the desires of eye and ear and palate, and i
74	82	4.800	17.08	What comes of its own accord when you set your nature free i
75	74	4.320	17.13	Order appears not when nature is allowed to flow, but when i
76	102	5.920	17.23	And to explain this Xunzi chooses the image of a carpenter: 
77	92	5.760	15.97	It is steamed, forced into a vise, pressed into a mould, and
78	69	4.800	14.38	A dull blade does not sharpen itself; it is drawn across a w
79	82	5.600	14.64	A person is the same: he is worked by a teacher, by rules, b
80	47	3.520	13.35	Then he turns Mencius's own weapon against him.
81	30	2.400	12.50	Picture a hungry man, he says.
82	77	4.960	15.52	Food has been set before him, but his father and his elders 
83	45	3.200	14.06	He does not reach out; he invites them first.
84	42	2.720	15.44	Now, does this behaviour come from nature?
85	3	1.120	2.68	No.
86	16	1.760	9.09	Nature says eat.
87	129	7.040	18.32	This behaviour is done in spite of nature, and it comes from
88	120	5.920	20.27	Which means that the acts we consider finest appear precisel
89	62	3.680	16.85	The strength of this objection lies in how hard it is to bur
90	102	6.400	15.94	Because Xunzi asks a cold question: if a human being is so g
91	45	2.720	16.54	What is the receipt we take after a purchase?
92	127	7.040	18.04	What are the cameras at the street corners, the deposit dema
93	113	5.440	20.77	Every inch of our daily life is built on the assumption that
94	82	4.800	17.08	If we truly believed the story of the well, would we lock th
95	43	2.880	14.93	This line of thought did not stay in China.
96	155	8.160	19.00	Two thousand years later, in England, a man who had lived th
97	218	13.120	16.62	In the book he published in sixteen fifty-one, Leviathan, Th
98	32	3.360	9.52	poor, nasty, brutish, and short.
99	85	4.800	17.71	But Hobbes has to be read carefully; because he is not sayin
100	152	8.960	16.96	What he says is more unsettling: in a place where there is n
101	60	4.160	14.42	So the thing that produces evil is not evil hearts but fear.
102	103	5.120	20.12	Even two well-meaning people can shoot one another in an env
103	140	8.160	17.16	That is the reason Leviathan exists: not because it takes a 
104	182	10.240	17.77	A century later, in Königsberg, a philosopher who placed per
105	183	10.400	17.60	In the essay on universal history he wrote in seventeen eigh
106	68	4.160	16.35	This sentence is not an insult; it is an observation about m
107	108	7.360	14.67	Kant does not consider the human being uncarvable; he consid
108	99	5.920	16.72	And precisely for this reason he says there is a need for la
109	42	3.040	13.82	There is no need to write laws for angels.
110	51	3.360	15.18	Now we have two camps, and both of them look right.
111	43	2.400	17.92	One points to that half-second at the well.
112	29	1.760	16.48	The other to the locked door.
113	81	5.920	13.68	And this argument went round and round for centuries inside 
114	45	2.560	17.58	Until another tradition changed the question.
115	65	3.840	16.93	In Islamic thought the word that circles this argument is fi
116	131	7.360	17.80	It appears in the thirtieth verse of Surah Ar-Rum in the Qur
117	142	8.320	17.07	The same idea is in the famous hadith transmitted by Bukhari
118	60	4.000	15.00	The subtlety of fitrah lies here: fitrah does not mean good.
119	29	2.240	12.95	Nor does it mean blank slate.
120	25	2.240	11.16	Fitrah is an orientation.
121	14	1.760	7.95	Like a tuning.
122	168	8.480	19.81	A human being comes into the world equipped with an inclinat
123	18	1.600	11.25	It can be spoiled.
124	19	1.760	10.80	It can be silenced.
125	23	1.600	14.38	It can be covered over.
126	137	7.360	18.61	Do you notice that this description stands surprisingly clos
127	30	2.240	13.39	There is something given, yes.
128	46	3.520	13.07	But that given thing is not enough on its own.
129	112	6.720	16.67	Al-Farabi puts this point with an almost technical coolness:
130	91	5.600	16.25	What comes at birth is a predisposition; in one person towar
131	53	3.840	13.80	Virtue is acquired by habit, by repetition, by doing.
132	141	7.200	19.58	Which is to say that your character is not given to you; wha
133	128	7.520	17.02	Ibn Miskawayh, in the work he wrote at the beginning of the 
134	85	4.800	17.71	The very title of the book is his thesis: character is somet
135	189	10.720	17.63	He opposes the idea, held by certain physicians and philosop
136	73	4.000	18.25	If disposition never changed, there would be no such thing a
137	98	6.080	16.12	Advice would be nonsense, education a waste of time, raising
138	70	3.520	19.89	But we build our whole lives on the assumption that people c
139	22	1.600	13.75	Therefore they change.
140	189	10.560	17.90	Al-Ghazali, in the section he devotes to the training of the
141	47	2.720	17.28	We train a wild horse and turn it into a mount.
142	70	4.000	17.50	We accustom a bird of prey until it will settle on the back 
143	96	5.280	18.18	If we can change an animal's disposition that much, can a hu
144	195	10.720	18.19	But al-Ghazali adds a warning here, and this warning separat
145	54	3.360	16.07	and it does not proceed at the same speed in everyone.
146	74	4.960	14.92	Some dispositions soften with a slight effort; some resist f
147	93	5.280	17.61	Centuries later, this same line meets us in the laboratory i
148	206	10.560	19.51	In studies in developmental psychology, it has been shown ma
149	69	3.680	18.75	going to pick the object up and hand it over with no reward 
150	192	10.080	19.05	In puppet experiments with even younger infants, there are f
151	89	4.800	18.54	but the first findings stand uncomfortably close to Mencius'
152	71	4.000	17.75	And right here, the same science turns over the other face o
153	153	7.680	19.92	In an experiment carried out at the theology department of P
154	135	5.920	22.80	Some of them were told they would be speaking on the famous 
155	43	2.720	15.81	So that subject was in their heads exactly.
156	86	4.800	17.92	Then some were told hurry, you are late, and others were tol
157	107	6.240	17.15	And along the way, someone was placed in a doorway, coughing
158	101	5.600	18.04	The result is this: sixty-three percent of those who were no
159	47	3.200	14.69	Of those told they were late, only ten percent.
160	98	5.120	19.14	Some of them stepped over the man in need of help in order t
161	40	3.360	11.90	This experiment does not refute Mencius.
162	51	3.360	15.18	It adds a piece of ground-level information to him.
163	138	7.360	18.75	That half-second at the well may be real; but in order to he
164	163	10.080	16.17	Haste, fear, exhaustion, crowds, the fact that responsibilit
165	79	4.800	16.46	The sprout may be standing there; but remember, too, Mencius
166	64	4.000	16.00	If the herd passes by every day, no one can see what grew th
167	43	2.880	14.93	So the answer is neither angel nor monster.
168	142	7.680	18.49	The answer is that a human being is born with a predispositi
169	160	8.960	17.86	And this stops being a philosophical refinement and turns in
170	72	3.680	19.57	This is where the real price of the argument about human nat
171	76	3.840	19.79	Because the answer you give to this question does not stay i
172	80	6.720	11.90	It founds schools, writes laws, collects taxes, runs compani
173	31	2.080	14.90	Mencius says this quite openly.
174	116	5.280	21.97	A ruler who has a heart that cannot bear the suffering of th
175	214	11.200	19.11	The things he defended standing in front of kings were not a
176	27	2.080	12.98	education comes after that.
177	86	4.640	18.53	He went so far as to hold that deposing a ruler who crushes 
178	92	4.960	18.55	Because for him the foundation of politics was the ability t
179	50	3.040	16.45	Xunzi's followers arrived somewhere else entirely.
180	59	4.000	14.75	If a human being is a warped board, who will hold the vise?
181	94	5.760	16.32	Xunzi had thought of this vise as ritual, custom and educati
182	174	9.760	17.83	But two students raised alongside him, Han Fei and Li Si, dr
183	166	9.440	17.58	Li Si became chief minister of the Qin dynasty, which unifie
184	83	4.960	16.73	Out of the same diagnosis, an order far more merciless than 
185	75	4.480	16.74	Ibn Khaldun, in the Muqaddimah, looks at the matter with a h
186	117	7.200	16.25	It is necessary for human beings to live together, he says; 
187	102	5.280	19.32	But when they come together, the tendency toward aggression 
188	112	6.400	17.50	For this reason every community needs a restrainer to hold p
189	71	4.320	16.44	Ibn Khaldun writes this not as wishful thinking but as an ob
190	112	6.880	16.28	And the man who writes this also describes how civilisation 
191	39	4.000	9.75	His human being, too, is not one-sided.
192	92	5.120	17.97	Now let us bring this argument into our own day, because som
193	114	5.920	19.26	A study carried out in ten daycare centres in Israel gave wh
194	104	5.280	19.70	Some parents were late picking up their children, and the te
195	46	3.680	12.50	The centres imposed a small fine for lateness.
196	62	3.200	19.38	What was expected was that the fine would reduce the latenes
197	75	4.640	16.16	What happened was the exact opposite: lateness increased, ro
198	20	2.080	9.62	The reason was this.
199	101	5.760	17.53	Before the fine, being late was a disgrace; you were keeping
200	66	4.160	15.87	After the fine, being late became a service, a thing with a 
201	40	3.040	13.16	I am paying for it, so I am comfortable.
202	41	2.880	14.24	The most unsettling part came afterwards.
203	73	4.320	16.90	When the fine was removed, lateness did not go back to its o
204	153	7.840	19.52	That is: an institution used an instrument because it assume
205	16	1.600	10.00	And permanently.
206	62	3.520	17.61	This is a far smaller scene than any grand theory of politic
207	42	2.720	15.44	But that is exactly why it is instructive.
208	49	3.040	16.12	Because all of us design at this scale every day.
209	209	11.520	18.14	A manager who assumes his employees will slack off installs 
210	137	6.560	20.88	An examination system that assumes the student will cheat tu
211	204	11.680	17.47	The reverse is true as well: on some roads in Anatolia there
212	143	8.000	17.88	That stall makes a type of human being possible in the place
213	106	5.600	18.93	So the real matter is not to answer the question is a human 
214	80	4.960	16.13	We answer this question every day; not with words, but with 
215	117	6.560	17.84	With the regulation we write, the penalty we impose, the loo
216	64	4.640	13.79	And right here, that child at the well takes on another mean
217	61	4.480	13.62	In Mencius's scene there is a child waiting to be saved, yes
218	87	4.800	18.12	But in that scene there is also an adult who notices somethi
219	61	3.520	17.33	Perhaps the real question is not whether the child was saved
220	98	5.120	19.14	The real question is whether the adult is living inside a li
221	150	7.200	20.83	If you build a world that takes that half-second away from a
222	50	3.840	13.02	Nöron Philosophy'de bugünkü bölümün sonuna geldik.
223	41	3.360	12.20	Yeni bir hikâyede yeniden buluşmak üzere.
