sira	karakter	saniye	kar_sn	metin
1	179	10.400	17.21	Boş bir bisikleti hızlıca itip bırakın: birkaç saniye boyunc
2	52	3.360	15.48	Bunun sebebi okulda öğretilen jiroskop etkisi değil.
3	96	6.080	15.79	Çünkü fizikçiler jiroskopu da, kasteri de iptal eden bir bis
4	56	3.840	14.58	Boş bir bisikleti düz bir yolda hızlıca itin ve bırakın.
5	76	4.640	16.38	Birkaç saniye boyunca olması gerekenden çok daha uzun bir sü
6	131	9.120	14.36	Sonra hafifçe bir yana yatar, tam o anda gidon aynı yöne ken
7	36	2.400	15.00	Kimse dokunmuyor, kimse düzeltmiyor.
8	39	3.040	12.83	Selede oturan yok, gidonu tutan el yok.
9	44	2.880	15.28	Buna rağmen makine kendi kendini toparlıyor.
10	177	12.160	14.56	Bu sahneyi gördüğünüzde ilk hissettiğiniz şey, doğru olmayan
11	58	3.360	17.26	Çocukluğumuzdan tanıdığımız topaç görüntüsü devreye girer.
12	43	3.360	12.80	Topaç dönerken ayakta durur, durunca yatar.
13	24	1.600	15.00	Bisiklet de öyle olmalı.
14	68	4.480	15.18	Oysa o görüntüde asıl önemli olan ayrıntı, tekerleğin dönmes
15	32	2.240	14.29	Gidonun kendiliğinden kırılması.
16	51	3.840	13.28	Bisikleti ayakta tutan şey, direnç değil, düzeltme.
17	69	4.320	15.97	Ve bu düzeltme bir hareketten ibaret: devrildiği tarafa doğr
18	106	7.200	14.72	Nedenini anlamak için önce şunu kabul etmek gerekiyor: iki t
19	51	3.200	15.94	Yere değdiği iki nokta bir doğru parçası oluşturur.
20	102	6.240	16.35	O doğrunun üzerinde, birkaç santimetre genişliğinde bir last
21	91	6.080	14.97	Ağırlık merkezi o çizginin tam üstünde değilse, yer çekimi b
22	171	10.720	15.95	Bir süpürgeyi sapından tutup avucunuzun içinde dik tutmaya ç
23	82	5.440	15.07	destek noktasını ağırlık merkezinin altına yeniden getirirsi
24	54	3.840	14.06	Sonra tekrar düşmeye başlar, siz tekrar kaydırırsınız.
25	70	4.320	16.20	Dik duruş bir durum değil, sürekli tekrarlanan bir düzeltme 
26	48	3.040	15.79	Bisikletin avucu, tekerleklerin yere değdiği iz.
27	56	3.680	15.22	O izi yana kaydırmanın tek yolu da direksiyonu çevirmek.
28	186	12.320	15.10	Bisiklet sağa yatmaya başladığında ön tekerlek sağa kırılırs
29	58	3.680	15.76	Devrilmeye karşı konulmuyor; devrilmenin altına giriliyor.
30	51	3.360	15.18	Bisiklete binen herkes bunu farkında olmadan yapar.
31	58	4.640	12.50	Hatta çoğu kişinin ısrarla inkâr ettiği bir biçimde yapar.
32	70	4.320	16.20	Sola dönmek istediğinizde gidonu önce çok kısa bir an sağa k
