sira	karakter	saniye	kar_sn	metin
1	132	8.800	15.00	Toplantı kötü gidiyordu: Sony'nin Tokyo'daki yöneticileri ma
2	104	7.040	14.77	Sonra kısa bir ara verildi ve o arada, on beş dakika içinde,
3	124	7.680	16.15	Toplantı yeniden başladığında ekranda duran şey, birkaç ay s
4	194	12.800	15.16	bin dokuz yüz doksan dört yazında, Boston'dan Los Angeles'a 
5	147	8.320	17.67	Arabadaki iki kişiden biri Andy Gavin'di; Boston'da, doktora
6	22	2.240	9.82	Diğeri Jason Rubin'di.
7	119	7.040	16.90	İkisi daha ergenlik çağlarında birlikte oyun yapmaya başlamı
8	86	5.920	14.53	Ellerinde yeni bitmiş bir dövüş oyunu vardı: Way of the Warr
9	133	8.160	16.30	Oyun bin dokuz yüz doksan dörtün başında bir fuarda gösteril
10	83	5.760	14.41	Universal, iki gence üç oyunluk bir anlaşma ve Los Angeles't
11	126	7.840	16.07	Anlaşmayı yapan isim, o sıralarda Universal'da çalışan ve da
12	89	6.080	14.64	Böylece bütün eşyalarını bir arabaya yükleyip ülkenin bir uc
13	55	3.680	14.95	O üç gün, bir sonraki oyunun beyin fırtınasına dönüştü.
14	72	5.280	13.64	Sorun şuydu: o güne kadarki platform oyunlarının hepsi yanda
15	95	6.240	15.22	Karakteri profilden görüyordunuz, zıpladığı yeri ölçebiliyor
16	71	4.160	17.07	Kamerayı karakterin arkasına koyduğunuz anda bu dilin tamamı
17	70	4.480	15.62	Oyuncu bütün oyun boyunca kahramanın sırtına bakmak zorunda 
18	69	4.960	13.91	Arabada bu fikre esprili bir kod adı taktılar: Sonic'in arka
19	86	6.240	13.78	Ad kaba ama tanı doğruydu; iki boyutlu bir türü üç boyuta ta
20	62	4.320	14.35	Çözüm iki yılda olgunlaştı ve tek bir buluştan ibaret değild
21	86	5.440	15.81	Kamerayı serbest bırakmak yerine, dünyanın içinden geçen gör
22	99	6.080	16.28	Kamera kimi zaman karakterin arkasından, kimi zaman yanından
23	110	7.200	15.28	Oyunun ilk anında kahraman doğrudan oyuncunun yüzüne doğru k
24	148	9.760	15.16	Yani hikâyenin en bilinen sahnesi aslında bir tasarım kısıtı
25	40	2.560	15.62	Geriye kahramanın kim olacağı kalıyordu.
26	101	6.400	15.78	Ekip bir kitapçıdan Tasmanya Memelileri adlı bir saha rehber
27	90	5.600	16.07	Amerikalı bir oyuncunun daha önce hiç görmediği, sevimli ama
28	41	3.040	13.49	Vombat, potoroo ve bandikut finale kaldı.
29	117	7.840	14.92	Bandikut, Avustralya'ya özgü, sivri burunlu, keseli küçük bi
30	109	7.040	15.48	Yine de karakterin ilk adı vombattan geldi; ikisi de alitera
31	56	3.200	17.50	Sonra bu adın başka bir yerde kullanıldığını öğrendiler.
32	164	9.440	17.37	Ekim bin dokuz yüz doksan dörtte tür bandikut olarak değişti
33	147	10.080	14.58	Ocak bin dokuz yüz doksan beşte programcı Dave Baggett ekibe
34	133	8.800	15.11	Mart bin dokuz yüz doksan beşte iki çizer daha katıldı: kara
35	34	2.400	14.17	Bu seçim başlı başına bir tavırdı.
36	111	6.880	16.13	Stüdyo, oyunun görünüşünü oyun tasarımcılarına değil, Hollyw
37	124	7.840	15.82	Hedef açıktı: oynanışta Mario ya da Donkey Kong Country kıva
38	89	5.760	15.45	Ama o çizgi film abartısının her ayrıntısı, aslında donanımı
39	133	8.320	15.99	Jason Rubin yıllar sonra karakterin görünüşünü yüzde elli bi
40	137	9.120	15.02	Kahramanın turuncu olmasının sebebi turuncuyu sevmeleri deği
41	95	6.720	14.14	Turuncu ise hem ormanın yeşilinde hem çölün kumunda hem de g
42	207	12.160	17.02	Yüzünün gövdesine oranla bu kadar büyük olmasının sebebi çöz
43	171	9.760	17.52	Beyaz eldivenler ve göğsündeki açık renk leke de süs değildi
44	71	4.800	14.79	Kötü adam ise Universal'ın stüdyolarının yakınındaki bir yem
45	140	9.280	15.09	Kocaman kafalı, minik gövdeli, kendini dâhi sanan ama her pl
46	56	4.000	14.00	Çizer, tarifi duyar duymaz birkaç dakikada kâğıda döktü.
47	40	2.560	15.62	Kâğıt üzerinde her şey yerli yerindeydi.
48	75	4.960	15.12	Asıl mesele, bütün bunların iki megabaytlık bir makineye nas
49	142	8.480	16.75	Ekim bin dokuz yüz doksan dörtte başlayan üretimin bütçesi b
50	129	8.000	16.12	Dönemin sıradan iş istasyonları yerine, tanesi yaklaşık yüz 
51	49	3.040	16.12	Sanatçılar bu makinelerde bölümleri tasarlıyordu.
52	61	4.480	13.62	Sorun şuydu: o bölümler sekiz ila on altı megabayt tutuyordu
53	56	4.480	12.50	PlayStation'ın ana belleği ise topu topu iki megabayttı.
54	60	4.160	14.42	Yani ortada, tanımı gereği makineye sığmayan bir oyun vardı.
55	54	3.360	16.07	Bu imkânsızlık, oyunun bütün mühendisliğini belirledi.
56	29	2.240	12.95	Önce dili kendileri yazdılar.
57	179	11.520	15.54	Gavin ve Baggett, oyun mantığını yazmak için Lisp temelli, k
58	114	7.360	15.49	Düşmanların, kutuların, kameranın davranışı bu dilde tanımla
59	52	4.000	13.00	Sonra alışılmış yöntemleri teker teker terk ettiler.
60	112	7.200	15.56	O yıllarda karakterler iskelet sistemiyle canlandırılıyordu:
61	137	8.640	15.86	Ekip bunun yerine köşe noktası animasyonunu seçti; yani kara
