sira	karakter	saniye	kar_sn	metin
1	199	10.880	18.29	Push an empty bicycle hard and let go: for a few seconds it 
2	66	3.520	18.75	The reason is not the gyroscopic effect you were taught at s
3	124	6.560	18.90	Because physicists built a bicycle that cancelled both the g
4	57	4.000	14.25	Push an empty bicycle down a straight road and let it go.
5	71	4.640	15.30	For a few seconds it runs upright, far longer than it has an
6	158	9.120	17.32	Then it leans a little to one side, and at that exact moment
7	47	3.040	15.46	No one is touching it, no one is correcting it.
8	51	4.000	12.75	There is nobody on the saddle, no hand on the bars.
9	46	3.200	14.38	And still the machine gathers itself together.
10	196	10.560	18.56	The first thing you feel when you watch this pushes you towa
11	71	3.680	19.29	The image of the spinning top we have known since childhood 
12	56	3.360	16.67	A top stands while it spins and lies down when it stops.
13	29	2.080	13.94	The bicycle must be the same.
14	74	3.680	20.11	But the detail that matters in that scene is not the turning
15	38	2.400	15.83	It is the handlebar turning by itself.
16	62	3.520	17.61	What keeps a bicycle upright is not resistance but correctio
17	99	4.960	19.96	And that correction is nothing more than a single movement: 
18	47	3.040	15.46	To see why, you first have to accept something.
19	53	3.200	16.56	A two-wheeled vehicle cannot stand still and stay up.
20	63	3.680	17.12	The two points where it touches the ground form a line segme
21	95	5.280	17.99	Along that line there is a base of support that amounts to a
22	101	6.080	16.61	If the center of gravity is not directly above that line, gr
23	123	6.560	18.75	Whatever you do when you hold a broom by its handle and try 
24	146	7.200	20.28	You slide your hand toward the side the broom is falling, yo
25	50	3.040	16.45	Then it starts to fall again, and you slide again.
26	87	5.600	15.54	Standing upright is not a state; it is a continuously repeat
27	63	3.200	19.69	The bicycle's palm is the print the wheels leave on the grou
28	70	3.680	19.02	And the only way to slide that print sideways is to turn the
29	215	12.320	17.45	If the bicycle starts leaning right and the front wheel turn
30	31	2.880	10.76	The fall is not being resisted.
31	39	2.880	13.54	The machine is moving in underneath it.
32	46	2.880	15.97	Everyone who rides does this without noticing.
33	62	4.480	13.84	In fact, most people do it in a way they will stubbornly den
34	95	4.800	19.79	When you want to turn left, you first flick the handlebar to
35	136	7.680	17.71	That opposite move slides the bottom of the bicycle to the r
