sira	karakter	saniye	kar_sn	metin
1	52	3.520	14.77	Bu dağ köyünde büyükanne üç yıldır odasında yatıyor.
2	90	6.240	14.42	Her sabah ona kahve getiriliyor, hâl hatır soruluyor, akşam 
3	86	5.920	14.53	Kimse ona "ölü" demiyor — çünkü cenazesi için para biriktiri
4	61	4.640	13.15	Makassar'dan kuzeye çıkan yol, önce denizi arkanızda bırakır
5	141	9.440	14.94	Güney Sulawesi'nin sıcak, nemli kıyı ovası saatlerce sürer; 
6	30	2.080	14.42	Sonra arazi yükselmeye başlar.
7	56	4.000	14.00	Otobüs virajlara girer, kulaklar tıkanır, hava serinler.
8	104	6.560	15.85	Yaklaşık üç yüz kilometre ve sekiz ila on saat sonra, bulutl
9	39	3.040	12.83	Burası Tana Toraja, yani Toraja Ülkesi.
10	160	10.240	15.62	Endonezya'nın ortasında, dev bir ahtapotu andıran Sulawesi a
11	50	4.000	12.50	Ve orada, yamacın üzerinde, ilk gemiyi görürsünüz.
12	26	1.760	14.77	Bir gemi değildir aslında.
13	10	1.120	8.93	Bir evdir.
14	154	9.280	16.59	Ama çatısı öyle keskin bir kavisle yukarı fırlar, iki ucu öy
15	92	5.920	15.54	Toraja halkı buna tongkonan der; kelime, "birlikte oturmak" 
16	66	4.640	14.22	Çünkü tongkonan sadece bir barınak değildir, bir soyun merke
17	56	3.680	15.22	Bir ailenin bütün kuşaklarının bağlandığı düğüm noktası.
18	157	10.880	14.43	İçinde kimse yaşamayabilir, yıllarca boş kalabilir, ama ayak
19	42	3.680	11.41	Çünkü o ev, o ailenin dünyadaki adresidir.
20	59	4.160	14.18	Torajalılar bu çatı biçimi için kendi hikâyelerini anlatır.
21	133	8.480	15.68	Bazıları atalarının kuzeyden, denizden geldiğini, fırtınada 
22	123	7.680	16.02	Bazıları çatının, dinî ve ekonomik hayatın merkezindeki hayv
23	85	5.440	15.62	Muhtemelen ikisi de doğrudur; muhtemelen ikisi de sonradan a
24	111	8.000	13.88	Kesin olan şu: evin ön direğine, o ailenin cenaze törenlerin
25	82	5.600	14.64	Bir tongkonan'ın önünde ne kadar çok boynuz varsa, o soyun t
26	41	3.040	13.49	Ev, bir hane olduğu kadar bir bilançodur.
27	84	5.280	15.91	Evlerin tam karşısında, biraz daha küçük ama aynı gemi çatıs
28	128	8.320	15.38	Bunlar alang denen pirinç ambarlarıdır; ayakları, farelerin 
29	51	3.360	15.18	Ambarların altındaki gölge, köyün toplantı yeridir.
30	72	5.120	14.06	Yaşlılar orada oturur, çocuklar orada koşturur, misafir orad
31	90	6.240	14.42	Ev ve ambar birbirine bakar; ölülerin dünyasına ve dirilerin
32	39	2.400	16.25	Bu insanlar kendilerine bu adı vermedi.
33	110	7.360	14.95	"Toraja" adı, kıyıdaki komşuları olan Bugis halkının dilinde
34	44	3.360	13.10	Dağlar, yüzyıllarca bir tampon işlevi gördü.
35	76	5.280	14.39	Kıyıda güçlü sultanlıklar kurulup İslamlaştığında, yayla ken
36	125	8.320	15.02	Merkezî bir kral çıkmadı; her vadi kendi tongkonan'larıyla, 
37	50	3.040	16.45	Bu yalıtım yirminci yüzyılın ilk yıllarında bitti.
38	126	8.000	15.75	Hollanda sömürge ordusu bin dokuz yüz beş ve bin dokuz yüz a
