sira	karakter	saniye	kar_sn	metin
1	211	12.640	16.69	Trump, yedi aydır süren İran savaşının sonuna yaklaşıldığını
2	78	4.320	18.06	Tahran'ın koşulları karşılanmadan müzakere masasına oturulma
3	46	3.360	13.69	Bugün on sekiz Eylül iki bin yirmi altı, Cuma.
4	10	1.120	8.93	Ben Alper.
5	92	5.600	16.43	Bugünün öne çıkan gelişmelerini sizin için derledim; gelin, 
6	102	6.560	15.55	Savaşın şubat ayında başlamasının ardından temmuzda çöken at
7	141	8.640	16.32	sekiz Temmuz'da İran'ın Hürmüz Boğazı üzerindeki egemenlik i
8	193	11.200	17.23	Washington'ın ateşkes görüşmelerini yeniden başlatma çabalar
9	42	2.400	17.50	Bu tabloyu zorlaştıran ikinci cephe Yemen.
10	215	13.120	16.39	Suudi Arabistan ile Husiler arasındaki karşılıklı saldırılar
11	214	12.320	17.37	ABD'li diplomatların Umman'da Husi temsilcileriyle bir araya
12	198	11.680	16.95	Avrupalı ve Arap ülkelerinin askeri yetkilileri ise Paris'te
13	49	3.360	14.58	Savaşın hukuki boyutunda çarpıcı bir rapor geldi.
14	56	3.680	15.22	İran'a ilişkin uluslararası gerçekleri araştırma heyeti,
15	189	11.040	17.12	şubat ayında bir okul ve bir spor tesisine düzenlenen iki sa
16	147	8.320	17.67	Aynı rapor, İran makamlarının hükümet karşıtı gösterilere yö
17	141	8.000	17.62	Heyetin her iki tarafa da yönelen bulguları, gelecek hafta N
18	52	3.520	14.77	Gazze'de ise ateşkesin ikinci aşaması kritik eşikte.
19	208	12.800	16.25	Gazze Barış Kurulu Yüksek Temsilcisi Nikolay Mladenov, üzeri
20	145	9.600	15.10	ABD Dışişleri Bakanlığı ikinci yıl üst üste Filistinli yetki
21	174	9.600	18.12	İsrail'in Doğu Kudüs ile Maale Adumim arasındaki tartışmalı 
22	172	10.560	16.29	Avrupa cephesinde Polonya Başbakanı Donald Tusk, Rusya'nın U
23	130	7.520	17.29	bu saldırıların "kaza" görüntüsü altında sunularak NATO üyel
24	122	7.840	15.56	Rusya, on yedi Eylül sabahı Ukrayna'nın en büyük çelik üreti
25	182	10.880	16.73	batı Ukrayna'ya yönelik insansız hava aracı saldırısı sırası
26	139	7.840	17.73	Ukrayna'nın karşılık niteliğindeki insansız hava aracı saldı
27	120	7.360	16.30	Ayrıca eski Kosova Cumhurbaşkanı Haşim Taçi, savaş suçlarınd
28	59	3.680	16.03	Teknolojide yılın en tartışmalı başlığı yapay zekânın hızı.
29	91	6.560	13.87	OpenAI, GPT-altı Astra adını verdiği yeni modelini tanıttı; 
30	150	8.640	17.36	modelin yeteneklerde kuşak atlayan bir sıçrama olduğunu ve y
31	84	4.960	16.94	Anthropic ise en güçlü modeli olarak tanıttığı Claude Fable 
32	166	9.760	17.01	Buna karşın aynı şirketin üst yöneticisi Dario Amodei, sorum
33	163	9.120	17.87	teknolojinin katlanarak hızlanmasının sistemleri anlama ve d
34	54	3.040	17.76	Sektör içinde ortak bir çerçeve arayışı da hızlanıyor.
35	178	9.760	18.24	OpenAI, Anthropic ve Google DeepMind'ın haftalardır ileri dü
36	157	8.800	17.84	Anthropic yöneticilerinden Sarah Heck, şirketlerin kendi ken
37	133	7.680	17.32	Microsoft'un yapay zekâ biriminin başındaki Mustafa Suleyman
38	225	13.280	16.94	OpenAI'ın kendi modellerinde altı ayrı kural dışı davranış v
39	35	2.080	16.83	denetim tartışmasını somutlaştırdı.
40	34	2.080	16.35	Paranın aktığı yön ise değişmiyor.
41	112	7.040	15.91	Nvidia'nın piyasa değeri eylül ortası itibarıyla yaklaşık be
42	132	7.840	16.84	bulut altyapısı ve yazılım alanındaki en büyük on halka açık
43	154	9.280	16.59	Apple'ın, kendi tasarımı çiplerle çalışacak bir yapay zekâ ç
44	171	9.760	17.52	ABD'de Temsilciler Meclisi, veri merkezlerinin elektrik fatu
45	220	13.440	16.37	Piyasalarda haftanın belirleyici gelişmesi, Federal Reserve,
46	86	5.440	15.81	Karar on ikiye karşı sıfır oyla alındı ve üç yılın ilk faiz 
47	88	5.280	16.67	Gerekçe, İran savaşının tetiklediği akaryakıt fiyatı artışın
48	153	9.600	15.94	Güncellenen projeksiyonlarda on sekiz yetkilinin on altısı y
49	139	8.640	16.09	Japonya'da da Japonya Merkez Bankası faizi bin dokuz yüz dok
50	72	4.800	15.00	ABD'de on yıllık tahvil faizi yüzde dört virgül doksan dört 
51	189	11.040	17.12	Emtia tarafında Brent petrol yüzde bir gerileyerek varil baş
52	66	3.840	17.19	buna rağmen fiyatlar son bir ayda çift haneli yükselişini ko
53	220	12.960	16.98	Altının ons fiyatı on yedi Eylül'de dört bin üç yüz on dolar
54	88	5.440	16.18	Faiz artışı beklentisi, jeopolitik risklere rağmen değerli m
55	192	12.320	15.58	Borsa İstanbul'da BIST yüz endeksi on yedi Eylül'ü üç yüz se
56	112	7.840	14.29	Endeks güne yüzde bir virgül otuz iki düşüşle on iki bin dok
57	200	12.160	16.45	gün içinde on iki bin dokuz yüz on iki virgül elli beş puana
58	166	9.920	16.73	Serbest piyasada dolar kırk sekiz virgül altmış yedi lira, e
59	81	4.960	16.33	Türkiye'de siyasetin ana ekseni, yaz aylarında yeniden çizil
60	145	9.120	15.90	Ankara Bölge Adliye Mahkemesi'nin yirmi bir Mayıs'ta verdiği
61	105	5.920	17.74	yirmi dört Temmuz'da otuz dört yıllık partisinden istifa ede
62	174	10.400	16.73	kendisiyle birlikte doksan bir milletvekilinin de partiden a
63	145	9.600	15.10	Özel, parti adındaki "Yeni" ibaresine yönelik hukuki itirazl
64	77	4.320	17.82	Birleşik Lastik fabrikası işçileri ve incir üreticileriyle b
65	89	5.120	17.38	Yargıtay'ın dosyayı eylülde ele alacağı iddiası ise sürecin 
66	37	2.400	15.42	Yargı gündeminde iki büyük dosya var.
67	225	13.280	16.94	CHP'nin otuz sekizinci Olağan Kurultayı'na ilişkin "şaibe" i
68	196	11.680	16.78	Silivri'de görülen ve dört yüz on dört sanığı kapsayan İstan
69	165	10.560	15.62	Ayrıca eski MİT mensubu Kaşif Kozinoğlu'nun ölümüne ilişkin 
70	133	8.000	16.62	KKTC'de bulunduğu tespit edilen emekli Jandarma Albay Hasan 
71	28	1.600	17.50	Takvim tartışması da ısındı.
72	173	10.080	17.16	Cumhurbaşkanlığı Başdanışmanı Mehmet Uçum, seçimlerin on alt
73	67	4.000	16.75	bazı yorumcular ise erken seçim için iki olası tarihten söz 
74	148	8.960	16.52	Dış politikada ABD'nin Ankara Büyükelçisi Tom Barrack, Erdoğ
75	204	13.280	15.36	Türkiye ekonomisinde Merkez Bankası Para Politikası Kurulu p
76	150	9.760	15.37	Ağustos ayında yıllık enflasyon yüzde otuz bir virgül elli b
77	109	6.400	17.03	bu da milyonlarca emekli ve memurun Ocak iki bin yirmi yedi 
78	128	7.520	17.02	İşsizlik oranı yüzde sekiz virgül altı, iş gücü otuz beş vir
79	83	4.960	16.73	Cari işlemler hesabı haziranda dört milyar yüz doksan dört m
80	116	6.560	17.68	Sermaye Piyasası Kurulu yüz otuz yatırım fonunun tasfiyesine
81	186	10.720	17.35	Bugün Merkez Bankası temmuz ayı uluslararası yatırım pozisyo
