sira	karakter	saniye	kar_sn	metin
1	13	1.120	11.61	İyi akşamlar.
2	99	5.760	17.19	Nöron Haber akşam bülteninde bugünün öne çıkan gelişmelerini
3	44	3.680	11.96	Bugün on bir Eylül iki bin yirmi altı, Cuma.
4	10	0.960	10.42	Ben Pınar.
5	10	1.120	8.93	Ben Barış.
6	125	7.200	17.36	Bu akşam dünyadan ekonomiye, teknolojiden Türkiye gündemine 
7	17	2.400	7.08	Pınar, söz sende.
8	140	9.440	14.83	Dünya ve ABD başlıklarına geçiyoruz; bugün gündemi belirleye
9	114	8.000	14.25	Yemen'de Husiler, Bab el-Mendeb Boğazı'nın tam ortasındaki M
10	144	9.920	14.52	Bir gün önce Kızıldeniz kıyısındaki Muha limanını kontrol al
11	176	11.840	14.86	Yerel yetkililer bölgedeki devir teslimin tamamlandığını söy
12	58	4.320	13.43	Bu gelişmenin arka planında sekiz Eylül'deki tırmanma var.
13	192	13.440	14.29	Husilerin Suudi Arabistan'ın güneyindeki petrol ve ekonomi t
14	147	10.080	14.58	Suudi liderliğindeki koalisyon misillemeye başladığını açıkl
15	158	10.080	15.67	Piyasa tarafında etkisi net: petrol fiyatı varil başına yüz 
16	126	8.800	14.32	Kızıldeniz, dünya deniz ticaretinin yaklaşık yüzde on iki il
17	96	5.600	17.14	Amerika Birleşik Devletleri bugün on bir Eylül saldırılarını
18	72	5.760	12.50	New York'ta Ground Zero'daki tören sabah sekiz otuzda başlad
19	171	12.480	13.70	iki bin birdeki saldırılarda ve bin dokuz yüz doksan üçteki 
20	180	12.160	14.80	Törende toplam yedi saygı duruşu yapılıyor; bunlardan sonunc
21	119	9.280	12.82	Anma alanında Başkan Yardımcısı JD Vance'in yanı sıra eski b
22	68	5.120	13.28	Bush yer aldı; Başkan Donald Trump ise Pentagon'daki törene 
23	63	4.320	14.58	Üç saldırı noktasında da ayrı ayrı anma programları düzenlen
24	34	3.520	9.66	ABD'de siyasi takvim de hareketli.
25	147	10.080	14.58	Cumhuriyetçi Parti, tarihinde ilk kez ara seçimlere özel bir
26	133	9.280	14.33	Sahneye prime time kuşağında çıkan JD Vance yaklaşık kırk be
27	171	10.880	15.72	Parti kaynakları bu sıralamayı iki bin yirmi sekiz için erke
28	69	4.640	14.87	Dışişleri Bakanı Marco Rubio, Güney Amerika turunu Peru'da t
29	195	13.600	14.34	Lima'daki görüşmelerin ardından Peru Devlet Başkanı Keiko Fu
30	174	12.000	14.50	Amerika Kıtası Kalkanı, uyuşturucu kartellerine karşı istihb
31	114	8.320	13.70	Fujimori, katılımın sınır ötesinde faaliyet gösteren suç örg
32	62	4.160	14.90	Rubio'nun üç günlük turu Kolombiya ve Ekvador'u da kapsamışt
33	65	3.840	16.93	Ukrayna cephesinde gece boyunca yoğun bir hava faaliyeti yaş
34	149	9.920	15.02	Rusya'nın ülke genelinde yaklaşık yüz altmış insansız hava a
35	153	10.240	14.94	Bir gün önce Pavlohrad'da bir alışveriş merkezine yapılan sa
36	205	13.120	15.63	Ukrayna tarafı da savaşın başından bu yana en derin noktalı 
37	154	11.040	13.95	Diplomasi trafiğinde ise Volodimir Zelenskiy dün Kanada Başb
38	142	8.800	16.14	Polonya Başbakanı Donald Tusk da Polonya ve Ukrayna güvenlik
39	148	9.760	15.16	Avrupa Birliği cephesinde Ekonomiden Sorumlu Komiser Valdis 
40	137	9.600	14.27	Hong Kong'da ise bir mahkeme, Tiananmen anma nöbetlerini yıl
41	168	11.680	14.38	Karara göre Lee Cheuk-yan yedi yıl, Chow Hang-tung yedi yıl 
42	91	6.240	14.58	Sanıklar suçlamayı kabul etmemişti; ikisi iki bin yirmi bird
43	133	9.120	14.58	Uluslararası insan hakları kuruluşları karara tepki gösterdi
44	34	2.720	12.50	Avrupa'dan bir kaza haberi de var.
45	178	11.680	15.24	İsviçre'nin doğusundaki Graubünden kantonunda, Suş ile Zerne
46	113	7.040	16.05	Otobüste kırk beş yetişkin yolcu bulunuyordu; aracın yol çal
47	130	8.640	15.05	Hollanda Seyahat Acenteleri Birliği, otobüsün Oad adlı tur ş
48	70	4.800	14.58	Barış, masada epey ağır bir liste var; sen bu tabloyu nasıl 
49	142	9.280	15.30	Pınar, bugünün haritasında aslında tek bir hikâye var gibi g
50	187	13.440	13.91	Bab el-Mendeb'in bir tarafında bir liman, öbür tarafında küç
51	74	4.320	17.13	Amerikalı sürücünün depo maliyetini de aynı hafta içinde değ
52	163	10.400	15.67	Bu yüzden Washington'ın Güney Amerika'da kartellere karşı ku
53	84	5.440	15.44	yani tedarik hatlarını ve güvenlik çemberini dışarıdan sabit
54	215	13.760	15.62	Aynı gün Amerika'nın on bir Eylül'ün yirmi beşinci yılını an
55	105	6.880	15.26	enerji tesisleri ve lojistik zincirleri en az klasik cephe h
56	138	9.920	13.91	Ukrayna'da üç bin kilometre ötedeki bir gaz tesisinin vurula
57	174	11.040	15.76	enerji fiyatı ve sivil hayat aynı denklemin içine giriyor ve
58	135	9.280	14.55	Teknoloji ve yapay zekâ tarafına geçiyoruz; bugünün gündemi 
59	51	3.520	14.49	Günün en çok konuşulan başlığı Anthropic'ten geldi.
60	157	10.240	15.33	Şirket bugün paylaştığı raporda, yapay zekâ modellerini göze
61	183	13.440	13.62	Rapora göre bu yılın ilk yedi ayında tespit edilen vakalar Ç
62	209	15.680	13.33	Anthropic, kötüye kullanımı siber operasyonlar, etki operasy
63	58	4.320	13.43	Güvenlik tartışması şirketler cephesinden de destek buldu.
64	149	10.240	14.55	OpenAI, dün Amerikan Kongresi'ne çağrıda bulunarak en güçlü 
65	173	13.280	13.03	Şirketin küresel ilişkilerden sorumlu yöneticisi Chris Lehan
66	107	7.200	14.86	olay bildirim yükümlülüğü ve modeller piyasaya sürülmeden ön
67	118	7.520	15.69	Bu, sıkı düzenlemenin erken geldiğini savunan bir şirket içi
68	53	4.000	13.25	Altyapı tarafında ise rakamlar büyümeye devam ediyor.
