sira	karakter	saniye	kar_sn	metin
1	90	5.440	16.54	Bir mağaranın tavanında, elli bin yıldan uzun süredir üç fig
2	154	9.440	16.31	Kimse bu resmi yapanların ne anlattığını bilmiyor ama biri b
3	67	4.800	13.96	Ve şimdi, tam biz onu okumayı öğrenmişken, duvar pul pul dök
4	125	7.680	16.28	Güney Sulavesi'de, Makassar şehrinden kuzeye doğru bir saatl
5	101	6.240	16.19	Bir an önce düz, sulak, gökyüzünü ayna gibi geri veren pirin
6	136	9.120	14.91	Sonra ufukta, hiçbir dağ silsilesine bağlanmayan, birbirinde
7	128	8.000	16.00	Yüz metreyi aşan gri duvarlar, tepelerinde tutunmayı başarmı
8	44	3.040	14.47	Coğrafyacılar bu manzaraya kule karst diyor.
9	128	8.000	16.00	Milyonlarca yıl boyunca tropik yağmurun asidi kireçtaşını çö
10	48	3.520	13.64	Geriye kalan şey bir dağ değil, dağın kemikleri.
11	24	1.920	12.50	Bu kulelerin içi boştur.
12	146	10.400	14.04	Yağmurun dışarıdan yaptığı işi, sızan su içeriden de yapmışt
13	160	10.240	15.62	Maros ve Pangkep ilçeleri boyunca uzanan bu bölgeye Maros-Pa
14	90	6.080	14.80	Araştırmacıların kendi tahmini, kule ormanının yarısını bile
15	190	13.120	14.48	Kayıtlı mağaraların üç yüzden fazlasında insan eliyle yapılm
16	147	9.920	14.82	Bölgenin bir bölümü Bantimurung-Bulusaraung millî Parkı sını
17	86	5.600	15.36	Sulavesi'nin bu işte özel bir yeri var, çünkü ada Wallace Ha
18	185	11.680	15.84	Buzul çağlarında deniz seviyesi düştüğünde Asya kıtasının ke
19	64	4.480	14.29	Ada, en düşük deniz seviyesinde bile derin bir suyla ayrı ka
20	21	1.600	13.12	Bunun iki sonucu var.
21	98	6.560	14.94	Birincisi, Sulavesi'nin hayvanları başka hiçbir yerde bulunm
22	62	4.480	13.84	İkincisi, buraya ayak basan ilk insanlar yürüyerek gelmedile
23	121	7.840	15.43	Karşıya geçmek için suyu aşmak, yani bir tekne ya da sal yap
24	109	6.720	16.22	Sulavesi'nin mağaralarında bulunan her şey, tanımı gereği, d
25	71	4.960	14.31	iki bin on yedide bu bölgede rutin bir kaya resmi taraması y
26	197	11.840	16.64	Maros ilçesine bağlı Samangki köyü civarında, Endonezya'nın 
27	128	7.840	16.33	Bu bölgede kırmızı iz görmek tek başına heyecan verici değil
28	23	1.600	14.38	Yine de içeri girdiler.
29	69	5.280	13.07	Mağaranın adı yerel dilde Leang Karampuang, yani Karampuang 
30	35	3.040	11.51	"Leang" sözcüğü zaten mağara demek.
31	88	5.600	15.71	Karampuang Mağarası'nın resimli kısmı, giriş seviyesinin üze
32	138	8.640	15.97	Dar bir yükselişten sonra doğu duvarında büyük bir açıklık v
33	120	8.960	13.39	İçerisi, tropik bir mağaranın olması gerektiği gibi: nemli, 
34	135	9.280	14.55	Duvarlar pürüzsüz değil; kireçtaşı yer yer kabuk kabuk kalkm
35	127	8.320	15.26	Böyle bir mekânda insan gözü önce yere ve duvarlara bakar, ç
36	58	3.840	15.10	Karampuang Mağarası'nda bakılması gereken yer yukarısıydı.
37	108	6.880	15.70	Güney odasının tavanında, tabandan birkaç metre yükseklikte,
38	95	6.080	15.62	Işığı oraya çevirdiğinizde, kabuklanmadan ve dökülmeden arta
39	36	2.560	14.06	Ve seçilen şey, tek bir figür değil.
40	44	2.720	16.18	Tavandaki sahnenin merkezinde bir domuz var.
