sira	karakter	saniye	kar_sn	metin
1	149	9.440	15.78	Yirmi altı yaşındaki bir radyo çalışanı, elle yazdığı tek ro
2	77	5.120	15.04	Yirmi iki sterlinlik parayı da gönderdi — sonra aylarca hiçb
3	136	8.960	15.18	O elyazması bir ofisin köşesinde tozlanırken, Afrika edebiya
4	120	7.520	15.96	Nijerya'nın doğusunda, Ogidi adlı bir kasabada, on altı Kası
5	124	8.480	14.62	Biri Albert'ti; Victoria döneminin İngiltere'sinden, kraliçe
6	51	4.000	12.75	Öbürü Chinualumogu'ydu: Tanrı benim adıma savaşsın.
7	68	4.640	14.66	Bu iki ismin arasındaki mesafe, çocuğun bütün hayatının hari
8	94	6.240	15.06	Babası Isaiah Okafo Achebe, İngiliz kilisesinin yetiştirdiği
9	60	4.160	14.42	Evin içinde İngilizce ilahiler söyleniyor, İncil okunuyordu.
10	129	8.320	15.50	Kapının hemen dışında, aynı kasabanın öbür yarısında, atalar
11	157	8.960	17.52	Achebe yıllar sonra kendisini bir yol kavşağında büyümüş bir
12	139	8.960	15.51	Zekâsı onu önce Umuahia'daki Devlet Koleji'ne, ardından bin 
13	139	9.600	14.48	Ülkenin en parlak gençlerine verilen burs tıp içindi; Achebe
14	30	2.080	14.42	Albert adını da orada bıraktı.
15	24	1.920	12.50	Artık Chinua Achebe'ydi.
16	69	4.640	14.87	İbadan'da Shakespeare okudu, Milton okudu, Wordsworth ve Kea
17	56	3.360	16.67	Ama hayatını değiştiren kitap bunlardan hiçbiri değildi.
18	158	10.720	14.74	Zorunlu okuma listesinde, Nijerya'da geçen ve Anglo-İrlandal
19	81	6.080	13.32	Kitabın kahramanı bir Nijeryalıydı: coşkulu, sadık, gülünç, 
20	35	2.560	13.67	Londra'da kitap büyük övgü almıştı.
21	55	3.840	14.32	İbadan'daki sınıfta ise sessiz bir rahatsızlık dolaştı.
22	48	3.360	14.29	Öğrenciler kendilerini o sayfalarda tanımadılar.
23	91	5.600	16.25	Gördükleri şey bir portre değil, bir karikatürdü; üstelik ke
24	89	6.080	14.64	Achebe için asıl sarsıcı olan, kitabın kötü niyetli olmaması
25	87	5.920	14.70	Yazar Nijerya'yı biliyordu, orada memurluk yapmıştı, hatta h
26	42	3.200	13.12	Ama hikâyeyi anlatan kişi hep dışarıdaydı.
27	199	12.000	16.58	Bunun tek başına bir kitabın sorunu olmadığını da görüyordu;
28	131	8.000	16.38	Joseph Conrad'ın Heart of Darkness, yani Karanlığın Yüreği a
29	128	9.120	14.04	Achebe bu duyguyu sonradan bir atasözüyle özetleyecekti: asl
30	62	3.840	16.15	Sınıftan çıktığında kafasında bir öfke değil, bir görev vard
31	27	1.920	14.06	Birisi içeriden yazmalıydı.
32	35	2.560	13.67	bin dokuz yüz elli üçte mezun oldu.
33	119	8.320	14.30	Bir yıl sonra, bin dokuz yüz elli dörtte, Lagos'ta Nigerian 
34	96	6.400	15.00	İşi konuşma programları bölümündeydi: metin hazırlamak, yayı
35	26	1.920	13.54	Radyo ona iki şey öğretti.
36	48	3.040	15.79	Birincisi, bir cümlenin kulakta nasıl durduğunu.
37	20	1.920	10.42	İkincisi, disiplini.
38	66	4.160	15.87	Gündüz kurumun metinlerini yazıyor, gece kendi defterini açı
39	46	2.880	15.97	Yazdığı şey başlangıçta tek bir roman değildi.
40	170	11.520	14.76	Elinin altında üç kuşağı birden kapsayan devasa bir taslak v
41	39	2.400	16.25	Bir aile üzerinden yüz yıllık bir ülke.
42	88	6.400	13.75	bin dokuz yüz elli altıda kurum onu Londra'ya, BBC'nin perso
43	29	1.760	16.48	Achebe defterini yanına aldı.
44	124	8.480	14.62	Orada romancı ve yayıncı Gilbert Phelps'le tanıştı; Phelps m
45	16	1.600	10.00	Achebe reddetti.
46	56	3.680	15.22	Kitabın henüz hazır olmadığını düşünüyordu, ki haklıydı.
47	136	9.440	14.41	Lagos'a döndükten sonra, bin dokuz yüz elli yedide, yazarlık
48	94	6.400	14.69	Geriye yalnızca ilk kuşak kaldı; Umuofia'lı bir yam çiftçisi
49	104	7.040	14.77	Sonradan Things Fall Apart, Türkçedeki adıyla Parçalanma ola
50	124	8.640	14.35	Adını da hazırdı: William Butler Yeats'in bin dokuz yüz on d
51	38	3.040	12.50	Her şey parçalanıyor, merkez tutmuyor.
52	36	2.720	13.24	Elinde, dünyada tek bir nüsha vardı.
53	53	3.520	15.06	Kendi el yazısıyla, mürekkeple doldurulmuş defterler.
54	128	7.360	17.39	Lagos'ta yaşayan genç bir memurun bin dokuz yüz elli yedide 
55	38	2.720	13.97	Yayınevleri el yazısı kabul etmiyordu.
56	60	4.160	14.42	Achebe'nin daktilosu yoktu, daktilo bilen tanıdığı da yoktu.
57	158	9.760	16.19	Çözümü İngiltere'de çıkan haftalık dergi The Spectator'ın il
58	90	6.400	14.06	Achebe iki nüsha istedi ve bedelini İngiliz posta havalesiyl
59	115	7.200	15.97	Bugün küçük görünen bu rakam, o günün Lagos'unda genç bir ra
